                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                0.33606,                0.28457,                0.87688,                0.95712,                0.80553,                0.88192,                0.80042,                0.47647,                0.31151,                0.89426,              0.0041605,              0.0041605,              0.0041605
                    154,                0.32741,                0.27485,                0.87233,                0.95766,                0.80451,                0.88185,                0.80045,                0.47706,                0.31139,                0.89465,              0.0041219,              0.0041219,              0.0041219
                    155,                0.33612,                 0.2823,                0.87666,                0.95875,                0.80371,                0.88123,                0.80025,                0.47733,                0.31149,                0.89492,              0.0040832,              0.0040832,              0.0040832
                    156,                0.33273,                0.27911,                0.87354,                0.95829,                0.80296,                0.88111,                0.80055,                0.47708,                 0.3116,                0.89487,              0.0040445,              0.0040445,              0.0040445
                    157,                0.32922,                0.27853,                0.87372,                0.95876,                0.80296,                0.88115,                0.80089,                0.47725,                0.31133,                0.89493,              0.0040059,              0.0040059,              0.0040059
                    158,                0.32928,                0.27594,                0.87279,                0.95314,                0.80497,                0.88087,                0.80095,                0.47712,                0.31159,                0.89489,              0.0039672,              0.0039672,              0.0039672
                    159,                0.32883,                0.27525,                0.87268,                0.95236,                0.80508,                 0.8809,                0.80066,                0.47751,                0.31105,                0.89505,              0.0039285,              0.0039285,              0.0039285
                    160,                0.33205,                0.27728,                0.87432,                 0.9599,                0.80165,                0.88135,                0.80071,                0.47747,                0.31146,                0.89512,              0.0038898,              0.0038898,              0.0038898
                    161,                0.32923,                0.27609,                0.87117,                 0.9607,                0.80171,                0.88113,                0.80064,                0.47743,                0.31088,                0.89503,              0.0038512,              0.0038512,              0.0038512
                    162,                0.32946,                0.27713,                 0.8718,                 0.9579,                0.80296,                0.88114,                0.80043,                0.47736,                0.31023,                0.89502,              0.0038125,              0.0038125,              0.0038125
                    163,                0.32962,                0.27225,                0.87328,                0.95984,                0.80107,                0.88093,                0.80038,                0.47787,                0.31031,                0.89529,              0.0037738,              0.0037738,              0.0037738
                    164,                0.32177,                   0.27,                0.87003,                0.96022,                0.80165,                 0.8815,                0.80061,                0.47781,                0.31023,                0.89524,              0.0037352,              0.0037352,              0.0037352
                    165,                0.32613,                0.27143,                0.87052,                0.95355,                0.80374,                0.88156,                0.80083,                0.47807,                0.31013,                0.89561,              0.0036965,              0.0036965,              0.0036965
                    166,                0.32554,                0.27221,                0.86908,                 0.9512,                0.80413,                0.88171,                0.80053,                0.47749,                 0.3102,                0.89515,              0.0036578,              0.0036578,              0.0036578
                    167,                0.33113,                0.27549,                0.87166,                0.95311,                0.80296,                0.88161,                0.80052,                 0.4776,                0.31045,                0.89512,              0.0036191,              0.0036191,              0.0036191
                    168,                0.32576,                0.26945,                0.86829,                0.95378,                0.80296,                0.88155,                0.80038,                0.47787,                0.31072,                0.89528,              0.0035805,              0.0035805,              0.0035805
                    169,                 0.3289,                0.27656,                0.87325,                0.95087,                0.80395,                0.88155,                0.80062,                0.47758,                0.31042,                0.89523,              0.0035418,              0.0035418,              0.0035418
                    170,                0.32728,                0.27362,                0.87091,                0.95102,                0.80435,                0.88126,                0.80089,                0.47738,                0.31055,                0.89501,              0.0035031,              0.0035031,              0.0035031
                    171,                0.32781,                0.27451,                0.87248,                0.95323,                0.80392,                0.88176,                0.80102,                0.47747,                0.31042,                0.89498,              0.0034645,              0.0034645,              0.0034645
                    172,                0.32414,                 0.2689,                0.87182,                0.94884,                0.80507,                0.88145,                0.80084,                0.47742,                0.31019,                0.89497,              0.0034258,              0.0034258,              0.0034258
                    173,                0.32099,                0.26741,                0.86973,                0.95083,                0.80457,                0.88172,                0.80083,                0.47741,                0.30976,                0.89475,              0.0033871,              0.0033871,              0.0033871
                    174,                0.31981,                0.26682,                0.87232,                0.95073,                0.80497,                0.88155,                0.80089,                0.47737,                0.30927,                0.89462,              0.0033484,              0.0033484,              0.0033484
                    175,                0.32122,                0.26658,                0.87039,                0.94611,                 0.8069,                0.88136,                0.80092,                0.47744,                0.30935,                0.89466,              0.0033098,              0.0033098,              0.0033098
                    176,                 0.3207,                0.26282,                0.86915,                0.94589,                0.80698,                0.88117,                0.80068,                0.47768,                0.30879,                0.89472,              0.0032711,              0.0032711,              0.0032711
                    177,                0.32027,                0.26374,                0.86758,                0.94628,                0.80698,                0.88185,                0.80068,                0.47824,                0.30857,                0.89515,              0.0032324,              0.0032324,              0.0032324
                    178,                0.32284,                 0.2638,                0.86848,                0.94604,                0.80704,                0.88123,                0.80048,                 0.4782,                0.30859,                0.89522,              0.0031938,              0.0031938,              0.0031938
                    179,                0.31871,                0.26121,                 0.8688,                0.94818,                0.80589,                0.88193,                0.80091,                0.47817,                0.30861,                0.89516,              0.0031551,              0.0031551,              0.0031551
                    180,                0.31759,                0.26324,                0.87119,                0.94652,                 0.8069,                0.88212,                0.80094,                0.47839,                0.30786,                0.89527,              0.0031164,              0.0031164,              0.0031164
                    181,                0.31699,                0.26156,                0.86927,                 0.9459,                0.80748,                0.88232,                0.80108,                0.47818,                0.30776,                0.89525,              0.0030777,              0.0030777,              0.0030777
                    182,                0.32217,                0.26683,                0.87142,                 0.9477,                0.80702,                0.88217,                0.80116,                0.47846,                0.30807,                 0.8954,              0.0030391,              0.0030391,              0.0030391
                    183,                0.31864,                0.26171,                0.86894,                 0.9437,                0.80826,                0.88227,                0.80105,                0.47802,                0.30803,                0.89508,              0.0030004,              0.0030004,              0.0030004
                    184,                0.31715,                0.26234,                0.86948,                0.94642,                 0.8069,                0.88228,                0.80124,                0.47791,                0.30806,                0.89501,              0.0029617,              0.0029617,              0.0029617
                    185,                0.32039,                0.26471,                0.87025,                0.94626,                0.80729,                0.88192,                0.80094,                 0.4774,                0.30799,                 0.8949,               0.002923,               0.002923,               0.002923
                    186,                0.31731,                0.26079,                0.86693,                0.94082,                0.80966,                0.88178,                  0.801,                0.47735,                  0.308,                 0.8949,              0.0028844,              0.0028844,              0.0028844
                    187,                0.32114,                0.26607,                0.86938,                0.94202,                0.80848,                0.88177,                0.80099,                0.47762,                0.30817,                0.89506,              0.0028457,              0.0028457,              0.0028457
                    188,                0.31921,                0.26321,                0.87021,                0.94085,                0.80862,                0.88172,                0.80107,                0.47766,                0.30807,                0.89503,               0.002807,               0.002807,               0.002807
                    189,                    inf,                 0.2606,                0.86901,                0.94202,                0.80862,                0.88186,                0.80122,                0.47778,                0.30776,                 0.8951,              0.0027684,              0.0027684,              0.0027684
                    190,                0.31208,                0.25874,                0.86703,                0.94206,                0.80871,                0.88188,                0.80135,                0.47782,                0.30746,                 0.8951,              0.0027297,              0.0027297,              0.0027297
                    191,                0.31112,                0.25644,                0.86761,                 0.9423,                0.80834,                0.88195,                0.80141,                0.47781,                0.30751,                0.89514,               0.002691,               0.002691,               0.002691
                    192,                0.32032,                0.26292,                0.86866,                0.94166,                0.80874,                0.88153,                0.80124,                0.47792,                 0.3073,                0.89524,              0.0026523,              0.0026523,              0.0026523
                    193,                0.31617,                0.25938,                 0.8683,                0.94325,                0.80852,                0.88146,                0.80102,                0.47812,                0.30724,                0.89542,              0.0026137,              0.0026137,              0.0026137
                    194,                0.31379,                0.25619,                0.86762,                0.94307,                0.80853,                0.88166,                0.80114,                0.47815,                0.30683,                0.89534,               0.002575,               0.002575,               0.002575
                    195,                 0.3145,                 0.2597,                0.86712,                0.94313,                0.80927,                0.88211,                0.80114,                 0.4779,                0.30668,                0.89529,              0.0025363,              0.0025363,              0.0025363
                    196,                0.30977,                0.25406,                0.86637,                0.94312,                 0.8092,                0.88216,                0.80109,                0.47787,                0.30675,                 0.8953,              0.0024977,              0.0024977,              0.0024977
                    197,                0.31518,                0.25756,                 0.8674,                0.94316,                0.80984,                0.88189,                0.80087,                0.47776,                0.30669,                0.89525,               0.002459,               0.002459,               0.002459
                    198,                 0.3142,                0.25905,                0.86813,                0.94329,                0.81043,                0.88221,                0.80123,                0.47791,                0.30718,                0.89531,              0.0024203,              0.0024203,              0.0024203
                    199,                0.31237,                0.25752,                0.86766,                0.94342,                0.81053,                0.88233,                0.80146,                 0.4778,                 0.3073,                0.89527,              0.0023816,              0.0023816,              0.0023816
                    200,                0.31976,                0.26045,                0.86846,                0.94251,                0.81034,                0.88169,                0.80104,                 0.4776,                0.30736,                0.89511,               0.002343,               0.002343,               0.002343
                    201,                0.31391,                0.25489,                0.86658,                0.94302,                0.81043,                0.88154,                0.80095,                 0.4781,                0.30688,                0.89559,              0.0023043,              0.0023043,              0.0023043
                    202,                0.31175,                 0.2549,                0.86602,                0.94028,                0.81253,                0.88176,                0.80089,                0.47817,                0.30639,                0.89551,              0.0022656,              0.0022656,              0.0022656
                    203,                0.30963,                0.25067,                0.86436,                 0.9409,                0.81299,                0.88246,                0.80096,                0.47879,                0.30651,                0.89589,               0.002227,               0.002227,               0.002227
                    204,                0.31185,                0.24982,                0.86454,                0.94207,                0.81284,                0.88251,                0.80104,                0.47853,                0.30581,                0.89565,              0.0021883,              0.0021883,              0.0021883
                    205,                0.30648,                0.24886,                 0.8647,                 0.9428,                0.81302,                0.88238,                 0.8009,                0.47874,                0.30546,                0.89601,              0.0021496,              0.0021496,              0.0021496
                    206,                0.30662,                0.24991,                0.86422,                0.94339,                0.81252,                0.88304,                0.80107,                0.47833,                0.30578,                0.89562,              0.0021109,              0.0021109,              0.0021109
                    207,                0.31065,                0.25171,                0.86591,                0.94497,                0.81158,                0.88294,                0.80109,                0.47854,                0.30576,                0.89574,              0.0020723,              0.0020723,              0.0020723
                    208,                0.31146,                0.25181,                0.86646,                0.94605,                0.81141,                0.88249,                0.80104,                0.47883,                0.30561,                0.89607,              0.0020336,              0.0020336,              0.0020336
                    209,                 0.3059,                0.24842,                0.86357,                0.94424,                0.81311,                0.88225,                0.80098,                0.47895,                0.30563,                0.89619,              0.0019949,              0.0019949,              0.0019949
                    210,                0.30855,                0.24837,                0.86326,                0.94627,                 0.8108,                0.88227,                0.80107,                0.47896,                0.30586,                0.89638,              0.0019563,              0.0019563,              0.0019563
                    211,                0.31298,                0.25139,                 0.8668,                0.94628,                0.81086,                0.88203,                  0.801,                0.47968,                0.30568,                0.89686,              0.0019176,              0.0019176,              0.0019176
                    212,                0.30446,                0.24405,                0.86405,                0.94615,                0.81105,                0.88151,                0.80085,                   0.48,                0.30568,                 0.8971,              0.0018789,              0.0018789,              0.0018789
                    213,                0.30531,                0.24644,                0.86317,                0.94684,                0.81156,                0.88119,                0.80083,                0.48018,                0.30554,                0.89722,              0.0018402,              0.0018402,              0.0018402
                    214,                0.30564,                0.24522,                0.86501,                0.94723,                0.81132,                0.88133,                0.80072,                0.48028,                0.30532,                0.89731,              0.0018016,              0.0018016,              0.0018016
                    215,                0.30605,                0.24641,                0.86472,                0.94714,                0.81162,                0.88184,                0.80089,                0.48051,                0.30546,                0.89747,              0.0017629,              0.0017629,              0.0017629
                    216,                0.29811,                0.23949,                0.85969,                0.94739,                 0.8116,                0.88126,                0.80067,                0.48034,                0.30547,                0.89743,              0.0017242,              0.0017242,              0.0017242
                    217,                0.30649,                0.24538,                 0.8642,                0.95015,                0.80812,                0.88151,                0.80067,                0.48057,                0.30571,                0.89754,              0.0016855,              0.0016855,              0.0016855
                    218,                0.30863,                0.24431,                 0.8634,                0.95095,                 0.8083,                0.88167,                0.80051,                0.48035,                0.30582,                0.89747,              0.0016469,              0.0016469,              0.0016469
                    219,                0.30306,                0.24145,                0.86145,                0.94619,                0.81201,                 0.8819,                0.80092,                 0.4804,                0.30527,                0.89753,              0.0016082,              0.0016082,              0.0016082
                    220,                 0.2996,                0.24014,                0.86098,                0.94564,                0.81201,                0.88113,                0.80089,                0.48034,                 0.3051,                0.89768,              0.0015695,              0.0015695,              0.0015695
                    221,                 0.2967,                0.24014,                0.86135,                0.94769,                0.81164,                 0.8809,                0.80074,                0.48018,                0.30517,                0.89772,              0.0015309,              0.0015309,              0.0015309
                    222,                0.30007,                0.23962,                0.86233,                0.94514,                0.81264,                 0.8813,                0.80063,                0.48017,                0.30532,                0.89773,              0.0014922,              0.0014922,              0.0014922
                    223,                0.29708,                0.23872,                0.86149,                0.94545,                0.81281,                0.88091,                0.80072,                0.48033,                0.30491,                0.89796,              0.0014535,              0.0014535,              0.0014535
                    224,                  0.304,                0.24025,                 0.8623,                0.94542,                0.81237,                0.88081,                0.80115,                0.48047,                0.30488,                0.89813,              0.0014148,              0.0014148,              0.0014148
                    225,                0.29988,                0.23883,                0.86134,                0.95204,                0.80941,                0.88105,                0.80127,                0.48033,                0.30497,                0.89817,              0.0013762,              0.0013762,              0.0013762
                    226,                0.29919,                0.23881,                0.86168,                0.95131,                0.81013,                0.88087,                 0.8012,                0.48022,                 0.3051,                0.89828,              0.0013375,              0.0013375,              0.0013375
                    227,                0.29164,                0.23294,                0.85775,                0.94476,                0.81357,                0.88068,                0.80138,                0.48037,                0.30477,                0.89843,              0.0012988,              0.0012988,              0.0012988
                    228,                0.30174,                0.24138,                 0.8621,                 0.9505,                0.80911,                0.87999,                0.80107,                0.48021,                0.30515,                0.89852,              0.0012602,              0.0012602,              0.0012602
                    229,                0.29861,                0.23605,                0.86008,                 0.9464,                0.81209,                0.88068,                0.80123,                0.48018,                0.30488,                0.89863,              0.0012215,              0.0012215,              0.0012215
                    230,                0.29736,                0.23675,                0.86135,                0.94681,                 0.8123,                0.88052,                0.80074,                0.48039,                  0.305,                0.89879,              0.0011828,              0.0011828,              0.0011828
                    231,                0.29768,                0.23515,                0.86056,                0.94605,                0.81302,                0.88086,                0.80122,                0.47966,                0.30503,                0.89852,              0.0011441,              0.0011441,              0.0011441
                    232,                0.30131,                0.23631,                0.86139,                0.94542,                0.81381,                0.88117,                0.80106,                0.47978,                0.30496,                0.89864,              0.0011055,              0.0011055,              0.0011055
                    233,                0.29688,                0.23354,                0.85993,                0.95122,                 0.8099,                0.88081,                0.80062,                0.47969,                0.30509,                0.89881,              0.0010668,              0.0010668,              0.0010668
                    234,                0.29399,                0.23211,                0.85959,                0.95098,                 0.8099,                0.88107,                0.80048,                0.47982,                0.30476,                  0.899,              0.0010281,              0.0010281,              0.0010281
                    235,                0.29299,                0.22977,                0.85804,                0.95019,                0.80969,                0.88097,                0.80078,                0.47998,                0.30497,                0.89915,             0.00098945,             0.00098945,             0.00098945
                    236,                0.29005,                0.22761,                0.85885,                0.95016,                0.81012,                0.88057,                0.80089,                0.48014,                0.30478,                0.89928,             0.00095078,             0.00095078,             0.00095078
                    237,                0.29454,                0.23115,                0.86008,                0.94937,                0.80989,                0.88057,                0.80106,                0.48011,                 0.3047,                0.89922,             0.00091211,             0.00091211,             0.00091211
                    238,                 0.2899,                0.23002,                0.85821,                0.94963,                0.81003,                0.88065,                0.80076,                0.48034,                0.30466,                0.89939,             0.00087344,             0.00087344,             0.00087344
                    239,                0.29345,                0.22914,                0.85909,                0.94981,                0.81024,                0.88057,                0.80084,                0.48032,                0.30436,                0.89948,             0.00083477,             0.00083477,             0.00083477
                    240,                 0.2847,                0.22515,                0.85735,                0.94986,                0.81004,                0.88062,                0.80119,                0.48041,                0.30457,                0.89963,             0.00079609,             0.00079609,             0.00079609
                    241,                0.28733,                0.22548,                0.85652,                0.94988,                 0.8103,                0.88064,                0.80166,                0.48048,                0.30429,                0.89986,             0.00075742,             0.00075742,             0.00075742
                    242,                0.29168,                0.22915,                0.85902,                0.94974,                0.81048,                0.88086,                0.80133,                0.48125,                0.30433,                0.90067,             0.00071875,             0.00071875,             0.00071875
                    243,                0.29272,                0.22771,                0.85793,                0.94832,                0.81118,                0.88099,                0.80199,                0.48127,                 0.3042,                0.90073,             0.00068008,             0.00068008,             0.00068008
                    244,                0.28715,                0.22445,                0.85536,                0.95021,                0.80912,                0.88046,                0.80199,                0.48146,                0.30422,                0.90095,             0.00064141,             0.00064141,             0.00064141
                    245,                0.28873,                0.22445,                0.85717,                0.95137,                0.80874,                0.88031,                0.80191,                0.48145,                0.30444,                0.90084,             0.00060273,             0.00060273,             0.00060273
                    246,                0.29037,                0.22788,                0.85712,                0.95025,                0.80817,                0.87999,                0.80207,                0.48132,                0.30461,                0.90083,             0.00056406,             0.00056406,             0.00056406
                    247,                0.30627,                0.20235,                0.84115,                 0.9501,                0.80807,                0.88041,                0.80177,                0.48133,                0.30477,                 0.9009,             0.00052539,             0.00052539,             0.00052539
                    248,                0.30158,                0.19743,                0.83854,                0.95029,                0.80808,                0.88013,                0.80221,                0.48215,                0.30515,                0.90143,             0.00048672,             0.00048672,             0.00048672
                    249,                0.29893,                0.19371,                0.83748,                0.94937,                0.80923,                0.88002,                0.80236,                0.48143,                0.30559,                0.90126,             0.00044805,             0.00044805,             0.00044805
                    250,                0.29595,                0.19104,                0.83608,                0.94988,                0.80963,                0.88009,                0.80236,                0.48158,                0.30574,                0.90133,             0.00040938,             0.00040938,             0.00040938
                    251,                0.29576,                0.19071,                0.83696,                0.95085,                0.80948,                 0.8803,                0.80252,                0.48168,                0.30592,                0.90162,              0.0003707,              0.0003707,              0.0003707
                    252,                0.29521,                0.19051,                0.83655,                0.95178,                0.80918,                0.88095,                0.80235,                 0.4817,                0.30596,                0.90175,             0.00033203,             0.00033203,             0.00033203
                    253,                0.29342,                0.18813,                0.83494,                0.95386,                0.80846,                0.88156,                0.80253,                0.48183,                0.30605,                0.90188,             0.00029336,             0.00029336,             0.00029336
                    254,                0.29475,                0.18736,                0.83628,                0.95352,                0.80941,                 0.8809,                0.80233,                0.48186,                0.30608,                0.90199,             0.00025469,             0.00025469,             0.00025469
                    255,                0.29341,                0.18738,                0.83616,                0.95301,                0.80912,                0.88047,                0.80258,                 0.4817,                0.30609,                0.90196,             0.00021602,             0.00021602,             0.00021602
                    256,                0.29295,                0.18658,                0.83688,                0.95253,                0.80912,                 0.8809,                0.80257,                0.48155,                0.30617,                0.90189,             0.00017734,             0.00017734,             0.00017734
