                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.40179,                0.37255,                0.90805,                0.96655,                0.79057,                0.87008,                0.78944,                0.49158,                0.36293,                0.89968,              0.0086852,              0.0086852,              0.0086852
                     37,                0.40211,                0.37255,                0.90644,                0.97574,                0.78208,                0.86731,                0.78679,                0.49433,                0.36468,                0.90468,              0.0086465,              0.0086465,              0.0086465
                     38,                0.39365,                0.36354,                0.90088,                0.96901,                0.79027,                0.86976,                0.78922,                 0.4919,                0.36535,                0.89947,              0.0086078,              0.0086078,              0.0086078
                     39,                0.40203,                0.37102,                0.90746,                0.95959,                0.80007,                0.87024,                0.78655,                0.49939,                0.36546,                0.90533,              0.0085691,              0.0085691,              0.0085691
                     40,                0.40094,                0.36898,                0.90493,                0.96844,                0.78763,                 0.8682,                0.78747,                0.49685,                0.36497,                0.90289,              0.0085305,              0.0085305,              0.0085305
                     41,                0.39336,                0.35704,                0.90047,                0.96261,                0.79801,                0.87439,                0.79037,                0.48756,                0.34877,                0.89614,              0.0084918,              0.0084918,              0.0084918
                     42,                0.38827,                0.35619,                0.89953,                0.96226,                0.79657,                0.87217,                0.79074,                0.48823,                0.36322,                0.89739,              0.0084531,              0.0084531,              0.0084531
                     43,                0.38667,                0.35905,                0.89999,                0.97159,                0.78783,                 0.8697,                0.78858,                0.48944,                0.35444,                0.89751,              0.0084145,              0.0084145,              0.0084145
                     44,                0.38788,                0.35933,                0.90075,                0.97185,                0.78884,                0.87065,                0.78924,                0.48594,                0.35312,                0.89975,              0.0083758,              0.0083758,              0.0083758
                     45,                0.38479,                0.35275,                0.89962,                0.96197,                0.79763,                0.87047,                0.78952,                0.48912,                0.35167,                0.90161,              0.0083371,              0.0083371,              0.0083371
                     46,                0.39287,                0.35544,                0.90274,                0.96943,                0.79206,                0.87322,                0.78934,                0.49049,                 0.3519,                0.90477,              0.0082984,              0.0082984,              0.0082984
                     47,                0.38895,                0.35627,                0.90224,                0.96629,                0.79598,                0.87266,                0.78995,                0.49282,                0.34685,                0.90524,              0.0082598,              0.0082598,              0.0082598
                     48,                0.38826,                0.35606,                0.89913,                0.96485,                0.79624,                0.87205,                0.79229,                0.48621,                0.34664,                0.89866,              0.0082211,              0.0082211,              0.0082211
                     49,                0.37914,                0.34997,                0.89567,                0.96883,                0.79541,                0.87286,                0.79286,                0.48239,                0.34875,                0.89531,              0.0081824,              0.0081824,              0.0081824
                     50,                0.39133,                0.35822,                0.90147,                0.95521,                 0.8009,                0.87194,                0.79252,                0.48267,                0.35011,                0.89545,              0.0081437,              0.0081437,              0.0081437
                     51,                0.38679,                0.35332,                0.89956,                0.96296,                0.79774,                 0.8751,                0.79251,                0.48523,                0.34725,                 0.8982,              0.0081051,              0.0081051,              0.0081051
                     52,                 0.3854,                0.35454,                0.90059,                0.96479,                0.79607,                0.87567,                0.79224,                0.48512,                0.34542,                0.89619,              0.0080664,              0.0080664,              0.0080664
                     53,                0.38414,                0.34943,                0.89854,                0.96746,                0.79091,                0.87219,                0.79016,                0.48549,                0.34531,                0.89931,              0.0080277,              0.0080277,              0.0080277
                     54,                0.38694,                 0.3506,                0.89931,                0.96323,                0.79907,                0.87223,                0.79094,                0.48251,                0.34794,                0.89874,              0.0079891,              0.0079891,              0.0079891
                     55,                0.38374,                0.34853,                0.89791,                0.96499,                0.80046,                 0.8715,                0.79059,                0.48666,                 0.3428,                0.89918,              0.0079504,              0.0079504,              0.0079504
                     56,                0.38078,                0.34476,                0.89561,                0.96747,                0.79845,                 0.8733,                0.79097,                0.48788,                0.34085,                 0.9004,              0.0079117,              0.0079117,              0.0079117
                     57,                0.37802,                0.34054,                 0.8959,                0.95491,                0.80377,                0.87273,                0.79197,                  0.488,                 0.3404,                0.90268,               0.007873,               0.007873,               0.007873
                     58,                0.37807,                0.34163,                0.89698,                0.96781,                0.79252,                0.87575,                0.79355,                0.48357,                0.33863,                0.89928,              0.0078344,              0.0078344,              0.0078344
                     59,                0.38179,                0.34467,                0.89796,                0.96642,                0.79937,                0.87826,                0.79344,                0.48032,                0.33924,                0.89726,              0.0077957,              0.0077957,              0.0077957
                     60,                0.37272,                 0.3425,                0.89368,                0.95799,                0.80451,                0.87976,                0.79466,                 0.4779,                0.33675,                0.89474,               0.007757,               0.007757,               0.007757
                     61,                0.38095,                0.34335,                0.89697,                0.96099,                0.80284,                0.87679,                0.79566,                0.47796,                0.33513,                0.89389,              0.0077184,              0.0077184,              0.0077184
                     62,                0.36923,                0.33503,                0.89357,                0.95864,                0.80393,                0.87593,                0.79462,                0.47787,                0.33359,                 0.8946,              0.0076797,              0.0076797,              0.0076797
                     63,                0.37095,                0.33463,                0.89243,                0.96703,                0.80024,                0.87675,                0.79689,                0.47719,                0.33468,                0.89494,               0.007641,               0.007641,               0.007641
                     64,                0.37681,                 0.3406,                0.89581,                0.97186,                0.80035,                0.87651,                0.79653,                0.47634,                0.33187,                0.89483,              0.0076023,              0.0076023,              0.0076023
                     65,                0.37852,                0.33988,                0.89611,                0.97173,                0.80024,                0.87652,                0.79651,                0.47655,                0.33017,                0.89613,              0.0075637,              0.0075637,              0.0075637
                     66,                0.37122,                0.33419,                0.89122,                0.97039,                0.80044,                0.87621,                0.79617,                0.47508,                0.32853,                0.89543,               0.007525,               0.007525,               0.007525
